key|S_Kr|S_En|S_Beon|S_Esp|S_Deu|S_Idn|S_Tha|S_Fr|S_Gan|S_Rus
41030018|좋아! 거기군!!\n(망할 녀석! 제발 무사해라…)|Alright! That's where she is!\n(Damn! Please be safe…)|Alright! That's where she is!\n(Damn! Please be safe…)|Alright! That's where she is!\n(Damn! Please be safe…)|Alright! That's where she is!\n(Damn! Please be safe…)|Alright! That's where she is!\n(Damn! Please be safe…)|Alright! That's where she is!\n(Damn! Please be safe…)|Alright! That's where she is!\n(Damn! Please be safe…)|Alright! That's where she is!\n(Damn! Please be safe…)|Хорошо! Вот где она!\n(Проклятье! Пожалуйста, будь в порядке...)
41030019|뭐.. 뭐냐 이거…|What? What is this?|What? What is this?|What? What is this?|What? What is this?|What? What is this?|What? What is this?|What? What is this?|What? What is this?|Что? Что это?
41030020|적 유닛의 잔해군요…\n뭐가 어떻게 된 거죠?|Remains of exploded enemy units…\nWhat's going on here?|Remains of exploded enemy units…\nWhat's going on here?|Remains of exploded enemy units…\nWhat's going on here?|Remains of exploded enemy units…\nWhat's going on here?|Remains of exploded enemy units…\nWhat's going on here?|Remains of exploded enemy units…\nWhat's going on here?|Remains of exploded enemy units…\nWhat's going on here?|Remains of exploded enemy units…\nWhat's going on here?|Остатки взорванных мехов противника...\nЧто здесь происходит?
41030021|모르겠어…\n젠장. 유현이 녀석도 안 보이고…|I'm not sure…\nDamn. I don't see You-hyun…|I'm not sure…\nDamn. I don't see You-hyun…|I'm not sure…\nDamn. I don't see You-hyun…|I'm not sure…\nDamn. I don't see You-hyun…|I'm not sure…\nDamn. I don't see You-hyun…|I'm not sure…\nDamn. I don't see You-hyun…|I'm not sure…\nDamn. I don't see You-hyun…|I'm not sure…\nDamn. I don't see You-hyun…|Не знаю...\nПроклятье... Я не вижу Ю-Хань...
41030022|………(설마)|………(No...)|………(No...)|………(No...)|………(No...)|………(No...)|………(No...)|………(No...)|………(No...)|(Нет...)
41030023|[b][F8FF34]삐빅![-][/b]|[b][F8FF34]*Wooonggg[-][/b]|[b][F8FF34]*Wooonggg[-][/b]|[b][F8FF34]*Wooonggg[-][/b]|[b][F8FF34]*Wooonggg[-][/b]|[b][F8FF34]*Wooonggg[-][/b]|[b][F8FF34]*Wooonggg[-][/b]|[b][F8FF34]*Wooonggg[-][/b]|[b][F8FF34]*Wooonggg[-][/b]|[b][F8FF34]*Вжу-у-ух*[-][/b]
41030024|응?!|What the?|What the?|What the?|What the?|What the?|What the?|What the?|What the?|Какого?
41030025|전방에서 고에너지 반응!!|High energy reading up ahead!|High energy reading up ahead!|High energy reading up ahead!|High energy reading up ahead!|High energy reading up ahead!|High energy reading up ahead!|High energy reading up ahead!|High energy reading up ahead!|Впереди сильный сигнал!
41030026|[b][F8FF34]철컹! 철컹! 철컹![-][/b]|[b][F8FF34]*Clink! Clink! Clink!*[-][/b]|[b][F8FF34]*Clink! Clink! Clink!*[-][/b]|[b][F8FF34]*Clink! Clink! Clink!*[-][/b]|[b][F8FF34]*Clink! Clink! Clink!*[-][/b]|[b][F8FF34]*Clink! Clink! Clink!*[-][/b]|[b][F8FF34]*Clink! Clink! Clink!*[-][/b]|[b][F8FF34]*Clink! Clink! Clink!*[-][/b]|[b][F8FF34]*Clink! Clink! Clink!*[-][/b]|[b][F8FF34]*Щёлк! Щёлк! Щёлк!*[-][/b]
41030027|뭐야?!|What are you doing?|What are you doing?|What are you doing?|What are you doing?|What are you doing?|What are you doing?|What are you doing?|What are you doing?|Вы куда?
41030028|제국군 유닛입니다!!|Empire Army units!|Empire Army units!|Empire Army units!|Empire Army units!|Empire Army units!|Empire Army units!|Empire Army units!|Empire Army units!|Имперские мехи!
41030029|모두 전투 준비…|Everyone! Prepare for battle!|Everyone! Prepare for battle!|Everyone! Prepare for battle!|Everyone! Prepare for battle!|Everyone! Prepare for battle!|Everyone! Prepare for battle!|Everyone! Prepare for battle!|Everyone! Prepare for battle!|Приготовиться к сражению!
41030030|어딜 도망가!|Where are you running away to?|Where are you running away to?|Where are you running away to?|Where are you running away to?|Where are you running away to?|Where are you running away to?|Where are you running away to?|Where are you running away to?|Куда вы бежите?
41030031|[b][F8FF34]촥~!!![-][/b]|[b][F8FF34]*BAMMM!*[-][/b]|[b][F8FF34]*BAMMM!*[-][/b]|[b][F8FF34]*BAMMM!*[-][/b]|[b][F8FF34]*BAMMM!*[-][/b]|[b][F8FF34]*BAMMM!*[-][/b]|[b][F8FF34]*BAMMM!*[-][/b]|[b][F8FF34]*BAMMM!*[-][/b]|[b][F8FF34]*BAMMM!*[-][/b]|[b][F8FF34]*БА-БАХ!*[-][/b]
41030032|끄.. 끄윽!|Awe... KKuukkk....|Awe... KKuukkk....|Awe... KKuukkk....|Awe... KKuukkk....|Awe... KKuukkk....|Awe... KKuukkk....|Awe... KKuukkk....|Awe... KKuukkk....|А-а-а... у-у-у...
41030033|[b][F8FF34]콰과광!![-][/b]|[b][F8FF34]*Boom~ Pow!*[-][/b]|[b][F8FF34]*Boom~ Pow!*[-][/b]|[b][F8FF34]*Boom~ Pow!*[-][/b]|[b][F8FF34]*Boom~ Pow!*[-][/b]|[b][F8FF34]*Boom~ Pow!*[-][/b]|[b][F8FF34]*Boom~ Pow!*[-][/b]|[b][F8FF34]*Boom~ Pow!*[-][/b]|[b][F8FF34]*Boom~ Pow!*[-][/b]|[b][F8FF34]*Ба-бах! Бум!*[-][/b]
41030034|브.. 블랙 섀도우?|Black.... Black Shadow?|Black.... Black Shadow?|Black.... Black Shadow?|Black.... Black Shadow?|Black.... Black Shadow?|Black.... Black Shadow?|Black.... Black Shadow?|Black.... Black Shadow?|Чёрн... Чёрная Тень?
41030035|뭐야 늦었잖아~ 전부 내가 싹 정리해 버렸다고.|Hey, what took you so long? I got them all!|Hey, what took you so long? I got them all!|Hey, what took you so long? I got them all!|Hey, what took you so long? I got them all!|Hey, what took you so long? I got them all!|Hey, what took you so long? I got them all!|Hey, what took you so long? I got them all!|Hey, what took you so long? I got them all!|Эй, вы почему так долго? Я уже почти всех уделала!
41030036|늦었잖아~ 가 아냐!! 누가 맘대로 출동하래!!|That's not what you should be saying! Who said you can take off like that?|That's not what you should be saying! Who said you can take off like that?|That's not what you should be saying! Who said you can take off like that?|That's not what you should be saying! Who said you can take off like that?|That's not what you should be saying! Who said you can take off like that?|That's not what you should be saying! Who said you can take off like that?|That's not what you should be saying! Who said you can take off like that?|That's not what you should be saying! Who said you can take off like that?|Ты не это должна сказать! Кто позволил тебе вот так уйти?
41030037|뭐야~ 삐쳤어?|What? You're upset?|What? You're upset?|What? You're upset?|What? You're upset?|What? You're upset?|What? You're upset?|What? You're upset?|What? You're upset?|Что? Вы расстроены?
41030038|삐친 게 아니라 미치겠다!!\n무슨 깡으로 혼자서 전투를 벌이는 거야?|Not upset! Going crazy!\nNo! You're insane! Are you out of your mind?|Not upset! Going crazy!\nNo! You're insane! Are you out of your mind?|Not upset! Going crazy!\nNo! You're insane! Are you out of your mind?|Not upset! Going crazy!\nNo! You're insane! Are you out of your mind?|Not upset! Going crazy!\nNo! You're insane! Are you out of your mind?|Not upset! Going crazy!\nNo! You're insane! Are you out of your mind?|Not upset! Going crazy!\nNo! You're insane! Are you out of your mind?|Not upset! Going crazy!\nNo! You're insane! Are you out of your mind?|Не расстроен! Схожу с ума!\nНет! Это ты сумасшедшая! Ты что, совсем уже того?!
41030039|그런 오합지졸들은 나 혼자로 충분하다고.\n어쨌건 게릴라는 다 전멸했으니 이걸로 OK 아니겠어?|They were just pawns. I was doing just fine alone.\nAnyway, we got all their guerilla squad so we're OK, right?|They were just pawns. I was doing just fine alone.\nAnyway, we got all their guerilla squad so we're OK, right?|They were just pawns. I was doing just fine alone.\nAnyway, we got all their guerilla squad so we're OK, right?|They were just pawns. I was doing just fine alone.\nAnyway, we got all their guerilla squad so we're OK, right?|They were just pawns. I was doing just fine alone.\nAnyway, we got all their guerilla squad so we're OK, right?|They were just pawns. I was doing just fine alone.\nAnyway, we got all their guerilla squad so we're OK, right?|They were just pawns. I was doing just fine alone.\nAnyway, we got all their guerilla squad so we're OK, right?|They were just pawns. I was doing just fine alone.\nAnyway, we got all their guerilla squad so we're OK, right?|Это всего лишь пешки. Я прекрасно справлялась одна.\nВ любом случае, мы уничтожили весь отряд, так что всё хорошо, так ведь?
41030040|내가 못살아… 모두 일단 인근 기지까지 철수한다!|No it's NOT! We're moving to the nearest base for now.|No it's NOT! We're moving to the nearest base for now.|No it's NOT! We're moving to the nearest base for now.|No it's NOT! We're moving to the nearest base for now.|No it's NOT! We're moving to the nearest base for now.|No it's NOT! We're moving to the nearest base for now.|No it's NOT! We're moving to the nearest base for now.|No it's NOT! We're moving to the nearest base for now.|Нет, НЕ ТАК! Выдвигаемся к близлежащей базе.
41030041|[b][F8FF34]삐비비비비비비비빅~~~!!![-][/b]|[b][F8FF34]*Beeepppp... !![-][/b]|[b][F8FF34]*Beeepppp... !![-][/b]|[b][F8FF34]*Beeepppp... !![-][/b]|[b][F8FF34]*Beeepppp... !![-][/b]|[b][F8FF34]*Beeepppp... !![-][/b]|[b][F8FF34]*Beeepppp... !![-][/b]|[b][F8FF34]*Beeepppp... !![-][/b]|[b][F8FF34]*Beeepppp... !![-][/b]|[b][F8FF34]*Бз-з-з!!*[-][/b]
41030042|뭐야 이 경고음은?!|What's this warning sound?|What's this warning sound?|What's this warning sound?|What's this warning sound?|What's this warning sound?|What's this warning sound?|What's this warning sound?|What's this warning sound?|Что это за звук?
41030043|고에너지 반응 다수!! 적 유닛인 것 같습니다!!|We got multiple high energy readings! It looks like there are enemy units.|We got multiple high energy readings! It looks like there are enemy units.|We got multiple high energy readings! It looks like there are enemy units.|We got multiple high energy readings! It looks like there are enemy units.|We got multiple high energy readings! It looks like there are enemy units.|We got multiple high energy readings! It looks like there are enemy units.|We got multiple high energy readings! It looks like there are enemy units.|We got multiple high energy readings! It looks like there are enemy units.|У меня многочисленные сигналы! Похоже, к нам приближаются ещё вражеские мехи.
41030044|뭐라고? 어디서 오는 거야?!!|What? Where are they coming from?|What? Where are they coming from?|What? Where are they coming from?|What? Where are they coming from?|What? Where are they coming from?|What? Where are they coming from?|What? Where are they coming from?|What? Where are they coming from?|Что? Откуда они приближаются?
41030045|그.. 그게.. 모든 방향에서…|Well... Sir... They're coming from everywhere.|Well... Sir... They're coming from everywhere.|Well... Sir... They're coming from everywhere.|Well... Sir... They're coming from everywhere.|Well... Sir... They're coming from everywhere.|Well... Sir... They're coming from everywhere.|Well... Sir... They're coming from everywhere.|Well... Sir... They're coming from everywhere.|Ну... сэр... они идут отовсюду.
41030046|뭐.. 뭐야.. 적은 내가 모두 쓰러뜨린 게 아니었어?|What? Damn! I didn't get all the enemies?|What? Damn! I didn't get all the enemies?|What? Damn! I didn't get all the enemies?|What? Damn! I didn't get all the enemies?|What? Damn! I didn't get all the enemies?|What? Damn! I didn't get all the enemies?|What? Damn! I didn't get all the enemies?|What? Damn! I didn't get all the enemies?|Что? Проклятье! Я не всех убила?
41030047|(젠장… 함정에 빠진 건가…)|(Damn... is this a trap?)|(Damn... is this a trap?)|(Damn... is this a trap?)|(Damn... is this a trap?)|(Damn... is this a trap?)|(Damn... is this a trap?)|(Damn... is this a trap?)|(Damn... is this a trap?)|(Проклятье... это ловушка?)
41030048|전원 전투 준비! \n집중 공격으로 어떻게든 틈을 만들어 포위망을 뚫어보자!!|Everyone! Prepare for battle! \nConcentrate attack in one section! We need to create a break-through!|Everyone! Prepare for battle! \nConcentrate attack in one section! We need to create a break-through!|Everyone! Prepare for battle! \nConcentrate attack in one section! We need to create a break-through!|Everyone! Prepare for battle! \nConcentrate attack in one section! We need to create a break-through!|Everyone! Prepare for battle! \nConcentrate attack in one section! We need to create a break-through!|Everyone! Prepare for battle! \nConcentrate attack in one section! We need to create a break-through!|Everyone! Prepare for battle! \nConcentrate attack in one section! We need to create a break-through!|Everyone! Prepare for battle! \nConcentrate attack in one section! We need to create a break-through!|Всем приготовиться к сражению!\nСосредоточить атаку на одном участке! Нам нужно прорваться!
41030049|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|Продолжение следует...
41040001|[b][F8FF34]콰과과광!!![/b]|[b][F8FF34]Bang! Kaboom![-][/b]|[b][F8FF34]Bang! Kaboom![-][/b]|[b][F8FF34]Bang! Kaboom![-][/b]|[b][F8FF34]Bang! Kaboom![-][/b]|[b][F8FF34]Bang! Kaboom![-][/b]|[b][F8FF34]Bang! Kaboom![-][/b]|[b][F8FF34]Bang! Kaboom![-][/b]|[b][F8FF34]Bang! Kaboom![-][/b]|[b][F8FF34]*Бах! Бу-ум!*[-][/b]
41040002|또 아군이 당했다!!\n빌어먹을!! 저놈들은 괴물인가?!!|Ally unit is hit again!\nDamn! Are they immortal monsters?|Ally unit is hit again!\nDamn! Are they immortal monsters?|Ally unit is hit again!\nDamn! Are they immortal monsters?|Ally unit is hit again!\nDamn! Are they immortal monsters?|Ally unit is hit again!\nDamn! Are they immortal monsters?|Ally unit is hit again!\nDamn! Are they immortal monsters?|Ally unit is hit again!\nDamn! Are they immortal monsters?|Ally unit is hit again!\nDamn! Are they immortal monsters?|В наш мех снова попали!\nПроклятье! Они что, бессмертные?
41040003|저놈들도 언제까지나 저렇게 움직일 수 없다!\n조금만 더 밀어붙이면 돼!!|They can't stand forever!\nLet's just push ahead, a bit more!|They can't stand forever!\nLet's just push ahead, a bit more!|They can't stand forever!\nLet's just push ahead, a bit more!|They can't stand forever!\nLet's just push ahead, a bit more!|They can't stand forever!\nLet's just push ahead, a bit more!|They can't stand forever!\nLet's just push ahead, a bit more!|They can't stand forever!\nLet's just push ahead, a bit more!|They can't stand forever!\nLet's just push ahead, a bit more!|Они не смогут стоять вечно!\nНужно ещё поднажать, ещё немного!
41040004|정말 끝이 없군요… 대체 몇 기나 있는 건지…|There's just no end to them! How many units are there?|There's just no end to them! How many units are there?|There's just no end to them! How many units are there?|There's just no end to them! How many units are there?|There's just no end to them! How many units are there?|There's just no end to them! How many units are there?|There's just no end to them! How many units are there?|There's just no end to them! How many units are there?|Да им конца и края нет! Сколько их?
41040005|(젠장! 한쪽을 집중 공격해서 활로를 뚫고 탈출하려고 했는데\n이렇게 겹겹이 싸여서는 어떻게 할 수가 없잖아!!)|(Damn! The plan was to focus attack on one section to make a hole.\nDidn't expect them to be layered up like this!)|(Damn! The plan was to focus attack on one section to make a hole.\nDidn't expect them to be layered up like this!)|(Damn! The plan was to focus attack on one section to make a hole.\nDidn't expect them to be layered up like this!)|(Damn! The plan was to focus attack on one section to make a hole.\nDidn't expect them to be layered up like this!)|(Damn! The plan was to focus attack on one section to make a hole.\nDidn't expect them to be layered up like this!)|(Damn! The plan was to focus attack on one section to make a hole.\nDidn't expect them to be layered up like this!)|(Damn! The plan was to focus attack on one section to make a hole.\nDidn't expect them to be layered up like this!)|(Damn! The plan was to focus attack on one section to make a hole.\nDidn't expect them to be layered up like this!)|(Проклятье! Мы должны были сделать брешь в их рядах.\nНе думал, что они сгруппируются вот так!)
41040006|[b][F8FF34]철컥! 철컥![/b]|[b][F8FF34]*Clink! Clink!*[/b]|[b][F8FF34]*Clink! Clink!*[/b]|[b][F8FF34]*Clink! Clink!*[/b]|[b][F8FF34]*Clink! Clink!*[/b]|[b][F8FF34]*Clink! Clink!*[/b]|[b][F8FF34]*Clink! Clink!*[/b]|[b][F8FF34]*Clink! Clink!*[/b]|[b][F8FF34]*Clink! Clink!*[/b]|[b][F8FF34]*Щёлк! Щёлк!*[/b]
41040007|(탄이 떨어졌다…)\n저기! 누구 탄창 남는 사람 있어?!|(I'm out of ammo…)\nHey! Anyone have extra ammo?|(I'm out of ammo…)\nHey! Anyone have extra ammo?|(I'm out of ammo…)\nHey! Anyone have extra ammo?|(I'm out of ammo…)\nHey! Anyone have extra ammo?|(I'm out of ammo…)\nHey! Anyone have extra ammo?|(I'm out of ammo…)\nHey! Anyone have extra ammo?|(I'm out of ammo…)\nHey! Anyone have extra ammo?|(I'm out of ammo…)\nHey! Anyone have extra ammo?|(У меня закончились патроны...)\nЭй! У кого-то есть патроны?
41040008|저도 이게 마지막이에요…|I'm on my last cartridge.|I'm on my last cartridge.|I'm on my last cartridge.|I'm on my last cartridge.|I'm on my last cartridge.|I'm on my last cartridge.|I'm on my last cartridge.|I'm on my last cartridge.|У меня последняя обойма.
41040009|저도…|Me too...|Me too...|Me too...|Me too...|Me too...|Me too...|Me too...|Me too...|И у меня...
41040010|나도 그래…|Same for me.|Same for me.|Same for me.|Same for me.|Same for me.|Same for me.|Same for me.|Same for me.|И у меня.
41040011|…그야말로 절체절명이군.|This is not good.|This is not good.|This is not good.|This is not good.|This is not good.|This is not good.|This is not good.|This is not good.|Плохо дело.
41040012|(공세가 약해졌다… 저놈들 설마 탄약이?)\n좋아!! 기회다!! 전군 돌격!!|(Enemy's attack have slowed down… are they out of ammo, too?)\nGreat! It's our chance! Everyone! Attack!|(Enemy's attack have slowed down… are they out of ammo, too?)\nGreat! It's our chance! Everyone! Attack!|(Enemy's attack have slowed down… are they out of ammo, too?)\nGreat! It's our chance! Everyone! Attack!|(Enemy's attack have slowed down… are they out of ammo, too?)\nGreat! It's our chance! Everyone! Attack!|(Enemy's attack have slowed down… are they out of ammo, too?)\nGreat! It's our chance! Everyone! Attack!|(Enemy's attack have slowed down… are they out of ammo, too?)\nGreat! It's our chance! Everyone! Attack!|(Enemy's attack have slowed down… are they out of ammo, too?)\nGreat! It's our chance! Everyone! Attack!|(Enemy's attack have slowed down… are they out of ammo, too?)\nGreat! It's our chance! Everyone! Attack!|(Вражеская атака замедлилась... у них тоже закончились патроны?)\nОтлично! Это наш шанс!
41040013|적군 돌진해 옵니다!!|Enemy is coming on, fast!|Enemy is coming on, fast!|Enemy is coming on, fast!|Enemy is coming on, fast!|Enemy is coming on, fast!|Enemy is coming on, fast!|Enemy is coming on, fast!|Enemy is coming on, fast!|Враг быстро приближается!
41040014|젠장! 대체 어떻게 해야…|Damn! I'm out of option...|Damn! I'm out of option...|Damn! I'm out of option...|Damn! I'm out of option...|Damn! I'm out of option...|Damn! I'm out of option...|Damn! I'm out of option...|Damn! I'm out of option...|Проклятье! У меня нет вариантов...
41040015|[b][F8FF34]퓨슝~!![/b]|[b][F8FF34]*Kashooong!*[-][/b]|[b][F8FF34]*Kashooong!*[-][/b]|[b][F8FF34]*Kashooong!*[-][/b]|[b][F8FF34]*Kashooong!*[-][/b]|[b][F8FF34]*Kashooong!*[-][/b]|[b][F8FF34]*Kashooong!*[-][/b]|[b][F8FF34]*Kashooong!*[-][/b]|[b][F8FF34]*Kashooong!*[-][/b]|[b][F8FF34]*Ба-бах!*[-][/b]
41040016|응? 퓨슝?|What the? Cannon beam?|What the? Cannon beam?|What the? Cannon beam?|What the? Cannon beam?|What the? Cannon beam?|What the? Cannon beam?|What the? Cannon beam?|What the? Cannon beam?|Что? Лазер?
41040017|[b][F8FF34]쾅~!!![/b]|[b][F8FF34]BAMMMM!![-][/b]|[b][F8FF34]BAMMMM!![-][/b]|[b][F8FF34]BAMMMM!![-][/b]|[b][F8FF34]BAMMMM!![-][/b]|[b][F8FF34]BAMMMM!![-][/b]|[b][F8FF34]BAMMMM!![-][/b]|[b][F8FF34]BAMMMM!![-][/b]|[b][F8FF34]BAMMMM!![-][/b]|[b][F8FF34]*БУ-У-УМ!!!*[-][/b]
41040018|이 빔포 소리는 설마…|This sounds like...|This sounds like...|This sounds like...|This sounds like...|This sounds like...|This sounds like...|This sounds like...|This sounds like...|Похоже на...
41040019|달링~ 제가 구해드리러 왔어요!!|I came to save you, darling!|I came to save you, darling!|I came to save you, darling!|I came to save you, darling!|I came to save you, darling!|I came to save you, darling!|I came to save you, darling!|I came to save you, darling!|Я пришла спасти своего любимого!
41040020|누가 레나씨 달링이에욧!! 그리고 빔포는 제가 쐈거든요?|Who are you calling your darling, Lena? And I shot the cannon beam!|Who are you calling your darling, Lena? And I shot the cannon beam!|Who are you calling your darling, Lena? And I shot the cannon beam!|Who are you calling your darling, Lena? And I shot the cannon beam!|Who are you calling your darling, Lena? And I shot the cannon beam!|Who are you calling your darling, Lena? And I shot the cannon beam!|Who are you calling your darling, Lena? And I shot the cannon beam!|Who are you calling your darling, Lena? And I shot the cannon beam!|Кого это ты называешь любимым, Лена? И это я стреляла лазером!
41040021|모두 괜찮으세요?|Is everyone alright?|Is everyone alright?|Is everyone alright?|Is everyone alright?|Is everyone alright?|Is everyone alright?|Is everyone alright?|Is everyone alright?|Все в порядке?
41040022|너희들…|You guys...|You guys...|You guys...|You guys...|You guys...|You guys...|You guys...|You guys...|Девушки...
41040023|인사는 나중이에요! 레나씨 일단 저 녀석들을 처리하죠!!\n로즈는 모두의 보급을!!|You can welcome us later! Lena, let's eliminate them, first!\nRose! Resupply the team!|You can welcome us later! Lena, let's eliminate them, first!\nRose! Resupply the team!|You can welcome us later! Lena, let's eliminate them, first!\nRose! Resupply the team!|You can welcome us later! Lena, let's eliminate them, first!\nRose! Resupply the team!|You can welcome us later! Lena, let's eliminate them, first!\nRose! Resupply the team!|You can welcome us later! Lena, let's eliminate them, first!\nRose! Resupply the team!|You can welcome us later! Lena, let's eliminate them, first!\nRose! Resupply the team!|You can welcome us later! Lena, let's eliminate them, first!\nRose! Resupply the team!|Потом поблагодарите! Лена, сначала уничтожим их!\nРоза, помоги отряду!
41040024|네!!|Got it!|Got it!|Got it!|Got it!|Got it!|Got it!|Got it!|Got it!|Принято!
41040025|에밀리짱! 그 대사는 언니인 내가 해야지!!|Emily, you're the best! That's my line!|Emily, you're the best! That's my line!|Emily, you're the best! That's my line!|Emily, you're the best! That's my line!|Emily, you're the best! That's my line!|Emily, you're the best! That's my line!|Emily, you're the best! That's my line!|Emily, you're the best! That's my line!|Так точно!
41040026|누가 언니에요!!\n이번에야말로 누가 에이스인지 확실히 보여주겠어요!!|Alright!\nI'll show you all who is the real ACE in the team!|Alright!\nI'll show you all who is the real ACE in the team!|Alright!\nI'll show you all who is the real ACE in the team!|Alright!\nI'll show you all who is the real ACE in the team!|Alright!\nI'll show you all who is the real ACE in the team!|Alright!\nI'll show you all who is the real ACE in the team!|Alright!\nI'll show you all who is the real ACE in the team!|Alright!\nI'll show you all who is the real ACE in the team!|Отлично!\nЯ всем покажу, кто в этой команде АС!
41040027|좋아~!! 나도 지지 않을 거야!!|Alright! I'm not going to let you take my spot!|Alright! I'm not going to let you take my spot!|Alright! I'm not going to let you take my spot!|Alright! I'm not going to let you take my spot!|Alright! I'm not going to let you take my spot!|Alright! I'm not going to let you take my spot!|Alright! I'm not going to let you take my spot!|Alright! I'm not going to let you take my spot!|Я не дам тебе занять моё место!
41040028|어떻게든 살아 돌아왔군...\n정 중위. 도망친 잔당들은 어떻게 됐지?|Welcome back.\nLieutenant Jung. What about the remnants that have escaped?|Welcome back.\nLieutenant Jung. What about the remnants that have escaped?|Welcome back.\nLieutenant Jung. What about the remnants that have escaped?|Welcome back.\nLieutenant Jung. What about the remnants that have escaped?|Welcome back.\nLieutenant Jung. What about the remnants that have escaped?|Welcome back.\nLieutenant Jung. What about the remnants that have escaped?|Welcome back.\nLieutenant Jung. What about the remnants that have escaped?|Welcome back.\nLieutenant Jung. What about the remnants that have escaped?|С возвращением.\nЛейтенант Янг. Что со сбежавшими остатками врага?
41040029|07기동 타격대가 현재 추격 중입니다.|07 Mechanized Infantry is currently in pursuit, sir.|07 Mechanized Infantry is currently in pursuit, sir.|07 Mechanized Infantry is currently in pursuit, sir.|07 Mechanized Infantry is currently in pursuit, sir.|07 Mechanized Infantry is currently in pursuit, sir.|07 Mechanized Infantry is currently in pursuit, sir.|07 Mechanized Infantry is currently in pursuit, sir.|07 Mechanized Infantry is currently in pursuit, sir.|Седьмая механизированная пехота уже преследует их, сэр.
41040030|그렇군.\n자, 그럼…|I see.\nOkay.|I see.\nOkay.|I see.\nOkay.|I see.\nOkay.|I see.\nOkay.|I see.\nOkay.|I see.\nOkay.|I see.\nOkay.|Понятно.\nХорошо.
41040031|민 유현 중위.|Lieutenant Min You-hyun!|Lieutenant Min You-hyun!|Lieutenant Min You-hyun!|Lieutenant Min You-hyun!|Lieutenant Min You-hyun!|Lieutenant Min You-hyun!|Lieutenant Min You-hyun!|Lieutenant Min You-hyun!|Лейтенант Ю-Хань Мин!
41040032|뭐.. 뭐야. 답지 않게 정색하고.|Hey, What is this? What's with all the formality?|Hey, What is this? What's with all the formality?|Hey, What is this? What's with all the formality?|Hey, What is this? What's with all the formality?|Hey, What is this? What's with all the formality?|Hey, What is this? What's with all the formality?|Hey, What is this? What's with all the formality?|Hey, What is this? What's with all the formality?|Да, в чём дело? Что за фамильярность?
41040033|반성하고 있어?|Are you sorry?|Are you sorry?|Are you sorry?|Are you sorry?|Are you sorry?|Are you sorry?|Are you sorry?|Are you sorry?|Ты извинишься?
41040034|내.. 내가 뭘 그렇게 잘못했다고…|What the... Why should I be sorry?|What the... Why should I be sorry?|What the... Why should I be sorry?|What the... Why should I be sorry?|What the... Why should I be sorry?|What the... Why should I be sorry?|What the... Why should I be sorry?|What the... Why should I be sorry?|Я... что? За что это я должна извиниться?
41040035|[b][F8FF34]딱콩!![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*Шлёп!*[/b]
41040036|아?! 아아…?!!|Ouch! Hey!|Ouch! Hey!|Ouch! Hey!|Ouch! Hey!|Ouch! Hey!|Ouch! Hey!|Ouch! Hey!|Ouch! Hey!|Ай! Эй!
41040037|꾸.. 꿀밤?|That... hurt!|That... hurt!|That... hurt!|That... hurt!|That... hurt!|That... hurt!|That... hurt!|That... hurt!|Это... больно!
41040038|너 이게 뭐하는 짓…|What are you doing?|What are you doing?|What are you doing?|What are you doing?|What are you doing?|What are you doing?|What are you doing?|What are you doing?|Что вы делаете?
41040039|다시 한번 물을게. 반성하고 있어?|I'm going to ask again. Are you sorry?|I'm going to ask again. Are you sorry?|I'm going to ask again. Are you sorry?|I'm going to ask again. Are you sorry?|I'm going to ask again. Are you sorry?|I'm going to ask again. Are you sorry?|I'm going to ask again. Are you sorry?|I'm going to ask again. Are you sorry?|Я ещё раз спрошу. Ты будешь извиняться?
41040040|그러니까 내가 뭘…|So I'm asking, too. What did I do?|So I'm asking, too. What did I do?|So I'm asking, too. What did I do?|So I'm asking, too. What did I do?|So I'm asking, too. What did I do?|So I'm asking, too. What did I do?|So I'm asking, too. What did I do?|So I'm asking, too. What did I do?|И я ещё раз спрошу. За что?
41040041|[b][F8FF34]딱콩!![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*smack![/b]|[b][F8FF34]*Шлёп!*[/b]
41040042|두.. 두 번이나 때렸어?!\n으으… 아버님이나 언니에게도 맞은 적이 없는데…!|Again? You hit me twice?\nNot even my dad or sister hit me!|Again? You hit me twice?\nNot even my dad or sister hit me!|Again? You hit me twice?\nNot even my dad or sister hit me!|Again? You hit me twice?\nNot even my dad or sister hit me!|Again? You hit me twice?\nNot even my dad or sister hit me!|Again? You hit me twice?\nNot even my dad or sister hit me!|Again? You hit me twice?\nNot even my dad or sister hit me!|Again? You hit me twice?\nNot even my dad or sister hit me!|Снова? Вы второй раз меня ударили?\nДаже отец с сестрой никогда не били меня!
